,avgtimeall,avgtimealllure,avgtimeallreal,avgtimeneglure,avgtimenegreal,avgtimeneulure,avgtimeneureal,avgtimeposlure,avgtimeposreal,condition,subjid,totalneglure,totalnegreal,totalneulure,totalneureal,totalposlure,totalposreal
277,32.388333333333335,9.0184,61.60075,na,na,9.559666666666667,na,8.2065,61.60075,M41,cs71,3,0,2,0,0,4
278,11.3698,5.272666666666667,20.5155,7.072333333333333,32.36,2.3165,na,5.786,8.671,M41,vinnie,2,2,1,0,3,2
279,3.89025,2.678,5.1025,2.678,na,na,na,na,5.1025,M31,cs48,0,0,0,0,2,2
280,11.513444444444445,3.8576666666666664,15.341333333333335,4.55,11.454333333333334,3.5115,na,na,19.22833333333333,L22,cs33,2,3,0,0,1,3
281,10.531571428571429,8.325,10.899333333333335,8.325,12.675666666666666,na,na,na,9.123,M32,cs35,0,3,0,0,1,3
282,35.57111111111111,11.86,47.42666666666666,9.8895,52.4545,na,na,15.801,37.371,L42,cs80,0,4,1,0,2,2
283,8.34375,8.499,8.292,8.499,11.978,na,na,na,6.449,L11,CS91,0,1,0,0,1,2
284,15.375,20.0845,10.6655,na,11.893,20.0845,na,na,9.438,M12,CS105,2,1,0,0,0,1
285,10.02275,6.3065,11.880875,10.613,19.9505,6.0675,5.3,2.478,3.315,M21,cs05,2,4,1,1,1,3
286,35.83266666666666,3.844,42.2304,3.844,51.457,na,na,na,28.3905,L22,CS109,0,3,0,0,1,2
287,20.679428571428573,5.328,26.82,7.782,21.493,2.874,na,na,34.8105,M41,cs129,1,3,0,0,1,2
288,30.106650000000002,13.898916666666667,54.41825,16.605,79.47766666666668,11.6775,5.0485,12.350666666666665,62.272,M21,CS121,4,3,3,2,5,3
289,28.698071428571428,11.15975,35.7134,na,34.591,12.036333333333333,16.6805,8.53,50.272666666666666,L31,cs139,3,5,1,2,0,3
290,12.5015,na,12.5015,na,na,na,na,na,12.5015,L31,CS123,0,0,0,0,0,2
291,8.5415,5.73,10.228399999999999,5.805,9.181333333333335,5.58,na,na,11.799,M32,cs47,1,3,0,0,2,2
292,12.265444444444444,11.131285714285713,16.235,10.56075,na,11.892,na,na,16.235,M32,CS90,3,0,0,0,4,2
293,5.474454545454545,2.9536,7.575166666666667,2.821,8.005666666666666,3.1525,na,na,7.144666666666667,M11,CS91,2,3,0,0,3,3
294,23.12242857142857,21.885,24.0505,19.264,23.673,27.127,na,na,24.176333333333332,L11,cs02,1,1,0,0,2,3
295,13.110882352941177,14.265571428571429,12.3026,16.9745,16.86025,16.074,2.533,1.614,10.6104,M12,test,4,4,1,1,2,5
296,9.841555555555555,6.848666666666667,11.338,7.158,12.287333333333335,na,3.89,6.23,13.638,L11,CS135,0,3,1,1,2,2
297,10.88775,7.743,15.2904,3.198,23.639,12.988666666666665,1.478,5.641,13.848,M21,cs54,3,2,1,1,3,2
298,6.1523076923076925,2.707375,11.664200000000001,2.4435,19.786,3.4626666666666663,na,1.497,6.249666666666667,M22,cs54,3,2,1,0,4,3
299,10.757733333333334,11.012666666666666,10.587777777777777,12.616,12.33,15.168,7.1052,5.254,15.811333333333334,L32,Stefano9,2,1,2,5,2,3
300,14.5114,13.328333333333333,16.286,9.891,na,15.047,na,na,16.286,L12,cs137,2,0,0,0,1,2
301,3.8668333333333336,4.2052,2.175,na,2.175,12.968,na,2.0145,na,L12,TEST9999,1,1,4,0,0,0
302,22.809166666666666,3.569,26.6572,3.569,22.58666666666667,na,na,na,32.763,L12,cs12,0,3,0,0,1,2
303,6.068666666666667,9.284,4.461,9.284,6.425,na,na,na,2.497,M32,cs08,0,1,0,0,1,1
304,1.718,na,1.718,na,na,na,na,na,1.718,M31,stefano1,0,0,0,0,0,1
305,4.839,5.998,3.68,5.998,3.68,na,na,na,na,L31,test6,0,1,0,0,1,0
306,15.479785714285713,15.94442857142857,15.015142857142857,22.1185,12.256,7.712333333333333,na,na,18.694,L12,CS115,3,4,0,0,4,3
307,15.9575,13.6955,16.4099,13.6955,18.21016666666667,na,na,na,13.7095,M32,CS97,0,6,0,0,2,4
308,47.566,49.433,46.6325,na,46.6325,49.433,na,na,na,L21,CS94,1,2,0,0,0,0
309,8.7786,8.808,8.7345,3.275,2.762,11.5745,na,na,14.707,M12,cs61,2,1,0,0,1,1
310,11.772,3.864,15.726,na,na,3.864,na,na,15.726,M42,cs113,1,0,0,0,0,2
311,6.6308,5.0305,7.697666666666667,na,7.32,5.0305,na,na,8.453,L31,cs67,2,2,0,0,0,1
312,8.197666666666667,7.7158,8.8,6.388,9.708,5.543,na,14.717,8.497333333333334,M12,cs85,2,1,1,0,2,3
313,18.918666666666667,17.45266666666667,19.651666666666667,21.125,17.993333333333332,10.108,na,na,21.31,M32,cs20,1,3,0,0,2,3
314,10.958857142857143,2.072,14.5136,0.837,19.437,3.307,na,na,7.1285,M12,cs12,1,3,0,0,1,2
315,10.042200000000001,6.099666666666667,12.670555555555556,8.815,19.79025,5.96625,6.0725,3.918,7.576333333333333,M22,cs05,4,4,1,2,1,3
316,18.40533333333333,6.126,20.8612,6.126,27.987333333333332,na,na,na,10.172,L11,CS99,0,3,0,0,1,2
317,10.467600000000001,7.9148000000000005,13.0204,4.294,13.616333333333333,6.222,na,16.614,12.1265,L41,cs116,3,3,1,0,1,2
318,50.969,6.545,62.075,6.545,57.7475,na,na,na,66.4025,M32,CS114,0,2,0,0,1,2
319,27.1356,26.841923076923077,27.45375,42.03,35.522285714285715,31.043,3.993,9.1332,34.405,L11,CS64,3,7,5,3,5,2
320,7.67525,7.304,7.799,7.304,na,na,na,na,7.799,L22,cs09,0,0,0,0,1,3
321,20.092428571428574,3.5435,26.712,na,39.662333333333336,3.5435,na,na,7.2865,M12,cs02,2,3,0,0,0,2
322,11.541,3.8896666666666664,17.2795,na,26.896,3.8896666666666664,na,na,7.663,M11,CS74,3,2,0,0,0,2
323,17.481625,10.41,19.838833333333334,3.53,21.499333333333333,17.29,na,na,18.17833333333333,M11,CS115,1,3,0,0,1,3
324,30.2875,38.391,22.184,na,22.184,38.391,na,na,na,M22,CS70,1,1,0,0,0,0
325,4.0866,3.6096666666666666,4.802,4.6655,na,1.498,na,na,4.802,M32,cs110,1,0,0,0,2,2
326,9.22675,9.734714285714286,8.831666666666665,3.669,12.1365,11.8676,8.9535,5.136,7.461,M31,CS75,5,2,1,2,1,5
327,3.0107142857142857,1.9095,3.4511999999999996,1.457,5.1165,2.362,na,na,2.341,M21,cs17,1,2,0,0,1,3
328,10.78,4.530333333333333,14.5298,4.6285,16.99366666666667,4.334,na,na,10.834,M11,cs52,1,3,0,0,2,2
329,36.284,16.9465,49.175666666666665,28.547,56.708,5.346,na,na,41.64333333333334,L21,cs93,2,3,0,0,2,3
330,30.718833333333333,38.254333333333335,23.183333333333334,na,39.906333333333336,41.7566,7.765,20.743,3.851,L21,cs57,5,3,1,2,0,1
331,14.585625,5.368333333333333,20.116,4.4435,13.8605,7.218,na,na,24.28633333333333,M22,CS120,1,2,0,0,2,3
332,14.050307692307692,12.90542857142857,15.386,7.839,16.980666666666668,16.70525,na,na,13.791333333333334,L12,cs13,4,3,0,0,3,3
